value,label
AMOT,AMOT - Allied Motion Tech
AMPH,AMPH - Amphastar Pharma Cmn
AMRB,AMRB - American River Bkshs
AMRI,AMRI - Albany Molecular Res
AMRK,AMRK - A-Mark Precious Meta
AMRN,AMRN - Amarin Corp Ads
AMRS,AMRS - Amyris Inc
AMSC,AMSC - Amer Superconductor
AMSF,AMSF - Amerisafe Inc
AMSWA,AMSWA - Amer Software Inc
AMTD,AMTD - TD Ameritrade HD Cmn
AMTX,AMTX - Aemetis Inc Cmn Stk
AMWD,AMWD - Amer Woodmark Cp
AMZN,AMZN - Amazon.Com Inc
ANAB,ANAB - Anaptysbio Inc
ANAT,ANAT - Amer Natl Insurance
ANCB,ANCB - Anchor Bancorp
ANCX,ANCX - Access National Corp
ANDA,ANDA - Andina Acq Cp Ord Sh
ANDAR,ANDAR - Andina Acq Cp Rt
ANDAU,ANDAU - Andina Acq Cp Unit
ANDAW,ANDAW - Andina Acq Cp Wt
ANDE,ANDE - Andersons Inc
ANGI,ANGI - Angie's List Inc
ANGO,ANGO - Angiodynamics Inc
ANIK,ANIK - Anika Therapeutics
ANIP,ANIP - ANI  Pharma Inc
ANSS,ANSS - Ansys Inc
ANTH,ANTH - Anthera Pharmaceutic
ANY,ANY - Sphere 3D Corp
AOBC,AOBC - American Outdoor Brands Corp
AOSL,AOSL - Alpha and Omega Semi
APDN,APDN - Applied Dna Scns Cmn
APDNW,APDNW - Applied Dna Sci Wrnt
APEI,APEI - American Pub. Edu.
APEN,APEN - Apollo Endosurgery Inc
APLP,APLP - Archrock Partners LP
APOG,APOG - Apogee Entrpr Inc
APOP,APOP - Cellect Biotechnology Ltd
APOPW,APOPW - Cellect Biotechnology Ltd
APPF,APPF - Appfolio Cl A Cmn
APPS,APPS - Digital Turbine Cmn
APRI,APRI - Apricus Biosc Inc
APTI,APTI - Apptio Inc
APTO,APTO - Aptose Bioscns Cmn
APVO,APVO - Aptevo Therapeutics Inc
APWC,APWC - Asia Pac Wire &Cable
AQB,AQB - Aquabounty Technologies Inc
AQMS,AQMS - Aqua Metals Inc Cmn
AQXP,AQXP - Aquinox Pharmaceutic
ARAY,ARAY - Accuray Incorporated
ARCB,ARCB - Arcbest Corp
ARCC,ARCC - Ares Capital Corp
ARCI,ARCI - Applnc Rcycl Ct Amer
ARCW,ARCW - Arc Group Worldwide
ARDM,ARDM - Aradigm Corp Cmn
ARDX,ARDX - Ardelyx Inc Cmn
AREX,AREX - Approach Res. Inc
ARGS,ARGS - Argos Therapeutics
ARII,ARII - American Railcar Ind
ARIS,ARIS - Ari Network Svcs
ARKR,ARKR - Ark Restaurants Cp
ARLP,ARLP - Alliance Resource Pt
ARLZ,ARLZ - Aralez Pharm Inc
ARNA,ARNA - Arena Pharmaceutical
AROW,AROW - Arrow Financial Corp
ARQL,ARQL - Arqule Inc
ARRS,ARRS - Arris Group Inc
ARRY,ARRY - Array Biopharma Inc
ARTNA,ARTNA - Artesian Res Cp A
ARTW,ARTW - Art S Way MFG Co I
ARTX,ARTX - Arotech Corp
ARWR,ARWR - Arrowhead Pharma
ASBB,ASBB - Asb Bancorp Inc
ASCMA,ASCMA - Ascent Capital Group
ASET,ASET - Flxsh Rl As Al Ix Fd
ASFI,ASFI - Asta Funding Inc
ASMB,ASMB - Assembly Biosciences
ASML,ASML - Asml Hldg NY Reg
ASNA,ASNA - Ascena Retail Grp Cmn
ASND,ASND - Ascendis Pharma Ads
ASPS,ASPS - Altisource Portfolio
ASRV,ASRV - Ameriserv Financial
ASRVP,ASRVP - Ameriserv Fin Cap
ASTC,ASTC - Astrotech Corp
ASTE,ASTE - Astec Inds Inc
ASUR,ASUR - Asure Software
ASYS,ASYS - Amtech Systems Inc
ATAI,ATAI - Ata Inc ADR
ATAX,ATAX - Amer First Mf Inv
ATEC,ATEC - Alphatec Holdings
ATHN,ATHN - Athenahealth Inc
ATHX,ATHX - Athersys Inc
ATLC,ATLC - Atlanticus Hldg Cp
ATLO,ATLO - Ames Natl Corp
ATNI,ATNI - Atn International
ATOM,ATOM - Atomera Inc
ATOS,ATOS - Atossa Genetics Inc
ATRA,ATRA - Atara Biotherap Cmn
ATRC,ATRC - Atricure Inc
ATRI,ATRI - Atrion Corp
ATRO,ATRO - Astronics Cp
ATRS,ATRS - Antares Pharma Cmn
ATSG,ATSG - Air Transport
ATTU,ATTU - Attunity Ltd
ATVI,ATVI - Activision Blizzard
AUBN,AUBN - Auburn Natl Bncp I
AUDC,AUDC - Audiocodes Ltd
AUPH,AUPH - Aurinia Pharm Ord
AVAV,AVAV - Aerovironment Inc
AVDL,AVDL - Avadel Pharmaceuticals Plc
AVEO,AVEO - Aveo Pharmaceuticals
AVGO,AVGO - Broadcom Ltd
AVGR,AVGR - Avinger Inc Cmn
AVHI,AVHI - A V Homes Inc
AVID,AVID - Avid Tech Inc
