value,label
HXX,HXX - HexxCoin
ICN,ICN - ICONOMI
ICX,ICX - ICON
IFC,IFC - Infinitecoin
IFT,IFT - investFeed
IGNIS,IGNIS - Ignis
INCNT,INCNT - Incent
IND,IND - Indorse-Token
INF,INF - InfChain
INK,INK - Ink
INS,INS - INS-Ecosystem
INSTAR,INSTAR - Insights-Network
INT,INT - Internet-Node-Token
INXT,INXT - Internxt
IOC,IOC - IOCoin
ION,ION - ION
IOP,IOP - Internet-of-People
IOST,IOST - IOStoken
IOTA,IOTA - IOTA
IOTX,IOTX - IoTeX
IQT,IQT - Iquant-Chain
ITC,ITC - IoT-Chain
IXC,IXC - iXcoin
IXT,IXT - InsureX
J8T,J8T - JET8
JNT,JNT - Jibrel-Network
KCS,KCS - KuCoin
KICK,KICK - KickCoin
KIN,KIN - KIN
KMD,KMD - Komodo
KNC,KNC - Kyber-Network
KORE,KORE - KoreCoin
LBC,LBC - LBRY-Credits
LCC,LCC - Litecoin-Cash
LEND,LEND - EthLend
LEV,LEV - Leverj
LGD,LGD - Legends-Room
LINDA,LINDA - Linda
LINK,LINK - ChainLink
LKK,LKK - Lykke
LMC,LMC - LoMoCoin
LOCI,LOCI - LOCIcoin
LOOM,LOOM - Loom-Token
LRC,LRC - Loopring
LSK,LSK - Lisk
LTC,LTC - Litecoin
LUN,LUN - Lunyr
MAID,MAID - MaidSafeCoin
MANA,MANA - Decentraland
MAX,MAX - Maxcoin
MBRS,MBRS - Embers
MCAP,MCAP - MCAP
MCO,MCO - Monaco
MDA,MDA - Moeda-Loyalty-Points
MEC,MEC - Megacoin
MED,MED - MediBlock
MEME,MEME - Memetic
MER,MER - Mercury
MGC,MGC - MergeCoin
MGO,MGO - MobileGo
MINEX,MINEX - Minex
MINT,MINT - Mintcoin
MITH,MITH - Mithril
MKR,MKR - Maker
MLN,MLN - Melon
MNE,MNE - Minereum
MNX,MNX - MinexCoin
MOD,MOD - Modum
MONA,MONA - MonaCoin
MRT,MRT - Miners-Reward-Token
MSP,MSP - Mothership
MTH,MTH - Monetha
MTN,MTN - MedToken
MUE,MUE - MonetaryUnit
MUSIC,MUSIC - Musicoin
MYB,MYB - MyBit-Token
MYST,MYST - Mysterium
MZC,MZC - Mazacoin
NAMO,NAMO - Namocoin
NANO,NANO - Nano
NAS,NAS - Nebulas-Token
NAV,NAV - Nav-Coin
NBT,NBT - NuBits
NCASH,NCASH - Nucleus-Vision
NDC,NDC - NeverDie-Coin
NEBL,NEBL - Neblio
NEO,NEO - NEO
NEOS,NEOS - NeosCoin
NET,NET - Nimiq
NLC2,NLC2 - NoLimitCoin
NLG,NLG - Gulden
NMC,NMC - Namecoin
NMR,NMR - Numeraire
NOBL,NOBL - NobleCoin
NOTE,NOTE - DNotes
NPXS,NPXS - Pundi-X-Token
NSR,NSR - NuShares
NTO,NTO - Fujinto
NULS,NULS - Nuls
NVC,NVC - Novacoin
NXC,NXC - Nexium
NXS,NXS - Nexus
NXT,NXT - Nxt
OAX,OAX - openANX
OBITS,OBITS - Obits
OCL,OCL - Oceanlab
OCN,OCN - Odyssey
ODEM,ODEM - ODEM
ODN,ODN - Obsidian
OF,OF - OFCOIN
OK,OK - OKCash
OMG,OMG - OmiseGo
OMNI,OMNI - Omni
ONION,ONION - DeepOnion
ONT,ONT - Ontology
OPT,OPT - Opus
OST,OST - Simple-Token
PART,PART - Particl
PASC,PASC - PascalCoin
PAY,PAY - TenX
PBL,PBL - Pebbles
PBT,PBT - Primalbase-Token
PFR,PFR - Payfair
PING,PING - CryptoPing
PINK,PINK - Pinkcoin
PIVX,PIVX - PIVX
PIX,PIX - Lampix
PLBT,PLBT - Polybius
PLR,PLR - Pillar
PLU,PLU - Pluton
POA,POA - POA-Network
POE,POE - Poet
POLY,POLY - Polymath
POSW,POSW - PoSW-Coin
POT,POT - PotCoin
POWR,POWR - Power-Ledger
PPC,PPC - Peercoin
PPT,PPT - Populous
PPY,PPY - Peerplays
PRG,PRG - Paragon-Coin
PRL,PRL - Oyster-Pearl
PRO,PRO - Propy
PST,PST - Primas
PTC,PTC - Pesetacoin
PTOY,PTOY - Patientory
PURA,PURA - Pura
QASH,QASH - QASH
QAU,QAU - Quantum
QLC,QLC - Qlink
QRK,QRK - Quark
QRL,QRL - Quantum-Resistant-Ledger
QSP,QSP - Quantstamp
QTL,QTL - Quatloo
QTUM,QTUM - Qtum
QWARK,QWARK - Qwark
R,R - Revain
RADS,RADS - Radium
RAIN,RAIN - Condensate
RBIES,RBIES - Rubies
RBX,RBX - Ripto-Bux
RBY,RBY - RubyCoin
RCN,RCN - Ripio-Credit-Network
RDD,RDD - ReddCoin
RDN,RDN - Raiden-Network-Token
REC,REC - Regalcoin
RED,RED - Redcoin
REP,REP - Augur
REQ,REQ - Request-Network
RHOC,RHOC - RChain
RIC,RIC - Riecoin
RISE,RISE - Rise
RLC,RLC- RLC-Token
RLT,RLT - RouletteToken
RPX,RPX - Red-Pulse
RRT,RRT - Recovery-Right-Tokens
RUFF,RUFF - Ruff
RUP,RUP - Rupee
RVT,RVT - Rivetz
SAFEX,SAFEX - SafeExchangeCoin
SALT,SALT - Salt
SAN,SAN - Santiment-Network-Token
SBD,SBD - Steem-Dollars
SBTC,SBTC - Super-Bitcoin
SC,SC - Siacoin
SEELE,SEELE - Seele
SEQ,SEQ - Sequence
SHIFT,SHIFT - SHIFT
SIB,SIB - SIBCoin
SIGMA,SIGMA - SIGMAcoin
SIGT,SIGT - Signatum
SJCX,SJCX - Storjcoin-X
SKIN,SKIN - SkinCoin
SKY,SKY - Skycoin
SLR,SLR - SolarCoin
SLS,SLS - SaluS
SMART,SMART - SmartCash
SMT,SMT - SmartMesh
SNC,SNC - SunContract
SNGLS,SNGLS - SingularDTV
SNM,SNM - SONM
SNRG,SNRG - Synergy
SNT,SNT - Status-Network-Token
SOC,SOC - All-Sports
SOUL,SOUL - Phantasma
SPANK,SPANK - SpankChain
SPC,SPC - SpaceChain
SPHR,SPHR - Sphere
SPR,SPR - SpreadCoin
SRN,SRN - Sirin-Labs-Token
START,START - Startcoin
STEEM,STEEM - Steem
STK,STK - STK-Token
STORJ,STORJ - Storj
STORM,STORM - Storm
STQ,STQ - Storiqa
STRAT,STRAT - Stratis
STX,STX - Stox
SUB,SUB - Substratum
SWFTC,SWFTC - SwftCoin
SWIFT,SWIFT - Bitswift
SWT,SWT - Swarm-City
SYNX,SYNX - Syndicate
SYS,SYS - SysCoin
TAAS,TAAS - Taas
TAU,TAU - Lamden
TCC,TCC - The-ChampCoin
TFL,TFL - True-Flip
THC,THC - HempCoin
THETA,THETA - Theta-Token
TIME,TIME - Time
TIX,TIX - Blocktix
TKN,TKN - TokenCard
TKR,TKR - Trackr
TKS,TKS - Tokes
TNB,TNB - Time-New-Bank
TNT,TNT - Tierion
TOA,TOA - ToaCoin
TRAC,TRAC - OriginTrail
TRC,TRC - Terracoin
TRCT,TRCT - Tracto
TRIG,TRIG - Triggers
TRST,TRST - Trustcoin
TRUE,TRUE - TrueChain
TRUST,TRUST - TrustPlus
TRX,TRX - Tronix
TUSD,TUSD - TrueUSD
TX,TX - TransferCoin
UBQ,UBQ - Ubiq
UKG,UKG - UnikoinGold
ULA,ULA - Ulatech
UNB,UNB - UnbreakableCoin
UNITY,UNITY - SuperNET
UNO,UNO - Unobtanium
UNY,UNY - Unity-Ingot
UP,UP - UpToken
URO,URO - Uro
USDT,USDT - Tether
UTK,UTK - UTrust
VEE,VEE - BLOCKv
VEN,VEN - VeChain
VERI,VERI - Veritaseum
VIA,VIA - Viacoin
VIB,VIB - Viberate
VIBE,VIBE - Vibe
VIVO,VIVO - VIVO
VOISE,VOISE - Voise
VOX,VOX - Voxels
VPN,VPN - VPNCoin
VRC,VRC - Vericoin
VRM,VRM - Verium
VRS,VRS - Veros
VSL,VSL - vSlice
VTC,VTC - Vertcoin
VTR,VTR - vTorrent
WABI,WABI - WaBi
WAN,WAN - Wanchain
WAVES,WAVES - Waves
WAX,WAX - Wax-Token
WCT,WCT - Waves-Community
WDC,WDC - WorldCoin
WGO,WGO - WavesGo
WGR,WGR - Wagerr
WINGS,WINGS - Wings
WPR,WPR - WePower
WTC,WTC - Walton
WTT,WTT - Giga-Watt-Token
XAS,XAS - Asch
XAUR,XAUR - Xaurum
XBC,XBC - Bitcoin-Plus
XBY,XBY - XtraBYtes
XCN,XCN - Cryptonite
XCP,XCP - Counterparty
XDN,XDN - DigitalNote
XEL,XEL - Elastic
XEM,XEM - NEM
XID,XID - Sphere-Identity
XLM,XLM - Stellar
XMG,XMG - Magi
XMR,XMR - Monero
XMT,XMT - Metal
XMY,XMY - Myriadcoin
XPM,XPM - Primecoin
XRL,XRL - Rialto
XRP,XRP - Ripple
XSPEC,XSPEC - Spectrecoin
XST,XST - Stealthcoin
XTZ,XTZ - Tezos
XUC,XUC - Exchange-Union
XVC,XVC - Vcash
XVG,XVG - Verge
XWC,XWC - WhiteCoin
XZC,XZC - ZCoin
XZR,XZR - ZrCoin
YEE,YEE - Yee
YOYOW,YOYOW - YOYOW
ZCC,ZCC - ZcCoin
ZCL,ZCL - Zclassic
ZCO,ZCO - Zebi
ZEC,ZEC - Zcash
ZEN,ZEN - ZenCash
ZET,ZET - Zetacoin
ZIL,ZIL - Zilliqa
ZLA,ZLA - Zilla
ZRX,ZRX - 0x
